"Name","Country","Years.active","Proven.victims","Possible.victims","Notes","Proven.victims.","Miscellaneous.information","Proven victims","Proven victims*","victims"
"William Heirens","United States","1945 to 1946",NA,"",NA,"3","Burglar who stabbed three females between. Known as ""The Lipstick Killer"".",0,3,3
"Richard Laurence Marquette","United States","1961 to 1975",NA,"",NA,"3","First 11th name on FBI 10 Most Wanted for killing, mutilating and dismembering a woman in 1961; killed two more with same MO upon 1973 release.",0,3,3
"Lee Roy Martin","United States","1967 to 1968",NA,"",NA,"3","Known as ""The Gaffney Strangler""; killed two women and two girls in South Carolina in 1967 and 1968.",0,3,3
"John Joubert","United States","1982 to 1983",NA,"",NA,"3","""The Nebraska Boy Snatcher"", Joubert was enlisted in US Air Force when he was arrested for the murders of two children. Later linked to another killing previous to his military service, of an 11-year-old boy in Maine. Joubert's criminal behavior began at the age of 13, with a series of random attacks on strangers that went unsolved until his arrest in Nebraska.",0,3,3
"Altemio Sanchez","United States","1981 to 2006",NA,"",NA,"3","Known as ""The Bike Path Rapist"" for murdering three women and raping at least 14 others in and around the Buffalo, New York area. Sentenced to 75 years in prison without the possibility of parole.",0,3,3
"Charles Schmid","United States","1964 to 1965",NA,"",NA,"3","Known as ""The Pied Piper of Tucson""; murdered three teenage girls in 1964 and 1965 and buried them in the desert.",0,3,3
"Karl F. Warner","United States","1969 to 1971",NA,"",NA,"3","Convicted of murdering three teenage girls, in two separate incidents, in the San Francisco Bay Area communities of San Jose and Saratoga, he was briefly suspected of being the notorious Zodiac Killer, but was soon ruled out as a suspect in that case.",0,3,3
"Howard Arthur Allen","United States","1974 to 1987",NA,"",NA,"3","Killed three elderly people, as well as assault, burglary, and arson. Sentenced to death June 11, 1988.",0,3,3
"Steven David Catlin","United States","1976 to 1984",NA,"",NA,"3","Poisoned three people from 1976 to 1984. Sentenced to death in 1990.",0,3,3
"Paul Michael Stephani","United States","1980 to 1982",NA,"",NA,"3","Known as ""The Weepy-Voiced Killer""; would call police and ask for help after murders. Killed 3 women in the cities of Saint Paul and Minneapolis, Minnesota.",0,3,3
"Brian Dugan","United States","1983 to 1985",NA,"",NA,"3","Convicted of murdering 2 girls and a woman between 1983 and 1985.[83]",0,3,3
"Heriberto Seda","United States","1990 to 1993",NA,"",NA,"3","New York City copycat killer of the Zodiac Killer active from 1990 to 1993; convicted of shooting eight individuals, killing three; sentenced to life imprisonment in 1998.",0,3,3
"Harvey Miguel Robinson","United States","1992 to 1993",NA,"",NA,"3","Teenager who stalked, raped and killed three women in Allentown, Pennsylvania in 1992 and 1993.",0,3,3
"Dana Sue Gray","United States","1994",NA,"",NA,"3","Convicted of murder of three elderly women and attempted murder of a fourth in California.[84]",0,3,3
"Jack Owen Spillman","United States","1994 to 1995",NA,"",NA,"3","Known as ""The Werewolf Butcher""; killed two girls and the mother of one of them in Washington State in 1994 and 1995.",0,3,3
"Scott Williams","United States","1997 to 2006",NA,"",NA,"3","Killed and mutilated three women between 1997 and 2006. Sentenced to life.",0,3,3
"Juan Covington","United States","1998 to 2005",NA,"",NA,"3","Shot and killed 3 people.[85]",0,3,3
"Michael Madison","United States","2012 to 2013",NA,"",NA,"3","Suspected American serial killer from East Cleveland, Ohio who is currently being held in custody as a suspect in at least three murders.",0,3,3
"Gabriel Garza Hoth","Mexico","1991 to 1998",NA,"",NA,"3","Known as ""The Black Widower"", killed 3 women between 1991 and 1998, his victims were wives and lovers.",0,3,3
"Mario Alberto Sulú Canché","Mexico","2007 to 2008",NA,"",NA,"3","Killed 3 women from 2007 to 2008; later committing suicide by hanging in prison.",0,3,3
"Martha Rendell","Australia","1907 to 1908",NA,"",NA,"3","Killed three stepchildren with hydrochloric acid in the 20th century; last woman to be hanged in Western Australia.",0,3,3
"Eddie Leonski","Australia","1942",NA,"",NA,"3","Confessed to three murders after being picked out of a line of American servicemen by witnesses. Sentenced to death and hanged.",0,3,3
"Gregory Brazel","Australia","1982 to 1990",NA,"",NA,"3","Shot dead a woman in 1982 armed robbery and murdered two prostitutes in 1990.",0,3,3
"Claremont killer","Australia","1996 to 1997",NA,"",NA,"3","Murders of two young women and the disappearance of a third in 1996 and 1997.",0,3,3
"Matthew James Harris","Australia","1998",NA,"",NA,"3","Strangled a friend's brother, a female friend and a male neighbour to death over five weeks in 1998 in Wagga Wagga.",0,3,3
"Francisca Ballesteros","Spain","1990 to 2004",NA,"",NA,"3","""The Black Widow of Valencia"". Poisoned her husband and three children, one of whom survived. Sentenced to 85 years in prison in 2005.",0,3,3
"Dámaso Rodríguez Martín","Spain","1981 to 1991",NA,"",NA,"3","Serial rapist and voyeur known as ""The Warlock"". After being sentenced to 55 years for murdering a man and raping his girlfriend in 1981, he escaped from prison in 1991 and fled to the Anaga mountains in Tenerife, where he killed a couple of German hikers (the woman was also raped). Cornered in an abandoned house, Martín shot himself unsuccessfully and was then shot dead by law enforcement.",0,3,3
"Gustavo Romero Tercero","Spain","1993 to 1998",NA,"",NA,"3","""The Valdepeñas Killer"". Armed robber and rapist, he killed a couple after the woman recognized him in 1993, and another woman in 1998 after accidentally hitting her with his car, fearing that a possible investigation would link him to the other crimes. Confessed and was sentenced to 83 years in prison for all crimes in 2003, after his ex-wife denounced him.",0,3,3
"Lam Kwok-wai","Hong Kong","1993",NA,"",NA,"3","Convicted of 10 rapes and 3 murders that he committed with his bare hands. One of two only known serial killers in Hong Kong.",0,3,3
"George Chapman","United Kingdom","1897 to 1902",NA,"",NA,"3","Poisoned three consecutive mistresses with tartar emetic. Considered the possible identity of Jack the Ripper at the time of his execution (1903).",0,3,3
"George Joseph Smith","United Kingdom","1912 to 1914",NA,"",NA,"3","Known as ""The Brides in the Bath Murders""; killer of three women. Executed by hanging on August 13, 1915.",0,3,3
"Peter Bryan","United Kingdom","1993 to 2004",NA,"",NA,"3","A paranoid schizophrenic, Bryan was recluded in a mental institution after killing a shop assistant with a hammer in 1993. Released 11 years later after psychiatrists noted his ""continued improvement"", Bryan immediately killed a friend and was apprehended when he was frying his brains on a pan. Months later, Bryan killed a fellow mental patient, declaring that he didn't eat him solely because he was caught first. Currently imprisoned for life.",0,3,3
"Anthony Hardy","United Kingdom","2002",NA,"",NA,"3","Killed and dismembered three prostitutes. Diagnosed with personality disorder and recluded in a mental institution for life.",0,3,3
"Trevor Hardy","United Kingdom","1974 to 1976",NA,"",NA,"3","Called ""The Monster of Manchester"". Died in prison in 2012.",0,3,3
"Robin Ligus","United Kingdom","1994",NA,"",NA,"3","Died in a mental institution in 2012.",0,3,3
"John Straffen","United Kingdom","1951 to 1952",NA,"",NA,"3","Killed his third victim after escaping from the mental hospital where he was recluded for the first two murders. Longest-held prisoner in modern British history at the time of his death in 2007.",0,3,3
"Graham Young","United Kingdom","1962 to 1971",NA,"",NA,"3","Called the ""Teacup Poisoner"". Poisoned over 70 people, 3 of whom died.",0,3,3
"Valery Asratyan","Russia","1988 to 1990",NA,"",NA,"3","Raped dozens of women in Moscow, murdering three. Executed.",0,3,3
"Silvo Plut","Slovenia","1990 to 2006",NA,"",NA,"3","After serving 13 years in prison in Slovenia for a rape and murder, Plut murdered a second woman in Serbia in 2004 and fled back to Slovenia, where a Serbian petition of extradition was turned down by the government. Plut was then arrested for attacking a couple (wife died, husband survived) and sentenced to 30 years in prison. Committed suicide in 2007.",0,3,3
"António Luís Costa","Portugal","2005 to 2006",NA,"",NA,"3","Ex-soldier, suffocated three women (and mutilated the first one) in Santa Comba Dao.",0,3,3
"Yukio Yamaji","Japan","2000 to 2005",NA,"",NA,"3","Murdered his own mother in 2000, and then murdered a 27-year-old woman and her 19-year-old sister in 2005.[86]",0,3,3
"Hiroshi Maeue","Japan","2005",NA,"",NA,"3","Called the ""Suicide Website Murderer"" for finding his victims in an online suicide community. Maeue offered to painlessly kill themselves together by charcoal burning in a car, but once together he strangled them with his bare hands instead, as this excited him sexually. Hanged in 2009.",0,3,3
"Antonis Daglis","Greece","1992 to 1995",NA,"",NA,"3","""The Athens Ripper"". A serial rapist with antecedents for violence, Daglis upgraded to raping, strangling and dismembering three prostitutes with a hacksaw in 1992, and tried to kill six more women. In his trial he claimed to hate all prostitutes. Killed himself in prison in 1997.",0,3,3
"Joanna Dennehy","United Kingdom","2013",NA,"",NA,"3","Carried out the Peterborough ditch murders. Over a period of two weeks, murdered her landlord and two of her house mates by stabbing them. With the help of accomplices she dumped the bodies in ditches, then attempted to kill two strangers in broad daylight by stabbing them. Given whole life tariff on 28 February 2014.",0,3,3
"Özgür Dengiz","Turkey","2007",NA,"",NA,"3","Known as ""The Cannibal of Ankara"" for eating one of his victims; a third victim survived. Interned in a mental institution after his conviction to two life sentences was overturned.",0,3,3
"Erwin Hagedorn","Germany","1969 to 1971",NA,"",NA,"3","Killed three boys ages 9 to 12. Was convicted and executed in 1972.",0,3,3
"Alejandro Máynez","Mexico","1980s to 1990s",NA,"50+",NA,"2","Killed at least two women in Ciudad Juárez, but believed to be 50. Supposedly, along with Ana Benavides and Melchor Máynez.",0,2,2
"Billy Gohl","United States","1901 to 1913",NA,"40–140+",NA,"2","Alleged to have killed from 40 to 140 seamen in Aberdeen, Washington",0,2,2
"Gerard John Schaefer","United States","1969 to 1973",NA,"30+",NA,"2","Florida police officer who killed up to 34 women and girls. Stabbed to death by fellow inmate Vincent Faustino Rivera on December 3, 1995.",0,2,2
"Raman Raghav","India","1966 to 1968",NA,"23+",NA,"2","Psychopathic serial killer who killed slum dwellers by bludgeoning them when they were asleep. Was charged with 2 murders and sentenced to death, which was later reduced to life in prison.",0,2,2
"Francisco Guerrero","Mexico","1880 to 1908",NA,"21",NA,"2","Called El Chalequero (""The Vests Man""). Believed to have raped and murdered 20 women between 1880 and 1888 that were found in the Consulado River after having been beaten, strangled, gutted or decapitated, but convicted of only one and another attempt to 20 years in prison in 1888. Indulted in 1904, he was arrested for raping and killing another woman in 1908 and sentenced to death, but died of natural causes in prison before he could be executed, in 1910.",0,2,2
"Darbara Singh","India","2004",NA,"17+",NA,"2","Convicted for two murders. Suspected of killing 15 girls and two boys from April to October 2004.",0,2,2
"Macario Alcala Canchola","Mexico","1960 to 1962",NA,"12+",NA,"2","Known as ""Mexican Jack""; convicted of the murders of two prostitutes but suspected of at least twelve more murders.",0,2,2
"Ed Gein","United States","1954 to 1957",NA,"8",NA,"2","Famous for his necrophiliac behaviours, as well as using/storing body parts of his victims to make household furniture, clothing and other miscellaneous household items.",0,2,2
"José Luis Calva","Mexico","2007",NA,"8",NA,"2","Killed and cannibalized women. Hanged himself in prison after being convicted to 84 years for two murders.",0,2,2
"Robert Zarinsky","United States","1958 to 1974",NA,"10",NA,"2","Killed people between 1958 and 1974.",0,2,2
"Shirley Winters","United States","1979 to 2007",NA,"7",NA,"2","Confessed in 2008 to killing 2 children (including her 5-month old son), 27 years apart. Plea agreement for those murders included clause stopping investigation of her role in a fire that killed 2 previous children in 1979. Is also a suspect in a separate fire that killed 3 children of a friend in 1979.",0,2,2
"Glen Rogers","United States","1995 to 1999",NA,"5",NA,"2","His capture in Kentucky ended a nationwide manhunt that began with the ""Cross-Country Killer's"" crime spree that stretched from coast to coast and left four women and one man from five different states dead. Rogers was convicted and sentenced to death by electric chair in Florida in 1997 for the stabbing death of Tina Marie Cribbs. He was later convicted and given a second death penalty in California for the September 1995 murder of Sandra Gallagher. Also known as the ""Casanova Killer"", Rogers is the lone suspect in the stabbing deaths of two other women (Linda Price in Jackson, Mississippi and Andy Jiles Sutton in Bossier City, Louisiana), both of whom—like Cribbs and Gallagher—he'd met and befriended in bars. The earliest homicide Rogers is suspected of is that of an elderly Ohio man, Mark Peters, with whom Rogers had lived for a short time. In 1994, Peters' remains were discovered in a Rogers ""family cabin"" in Kentucky.[88]",0,2,2
"Steven Brian Pennell","United States","1987 to 1988",NA,"5",NA,"2","Known as ""The Corridor Killer"" and ""The Route 40 Killer""; convicted of torture-murdering two women, pleaded no contest to two more and suspected of a fifth in Delaware in 1987 and 1988. Executed by lethal injection March 14, 1992.",0,2,2
"Mary Elizabeth Wilson","United Kingdom","1955 to 1957",NA,"4",NA,"2","""The Merry Widow of Windy Nook"". Believed to have poisoned her four husbands in a period of only two years. Sentenced to death for two murders but changed to life in prison, where she died in 1963.",0,2,2
"Hadden Clark","United States","1986 to 1992",NA,"2+",NA,"2","Killed and cannibalized a 6-year-old victim and a 23-year-old victim, and confessed to the murder of an unidentified woman nicknamed Lady of the Dunes.",0,2,2
"Gary M. Heidnik","United States","1986 to 1987",NA,"",NA,"2","Kidnapped, tortured, raped and imprisoned six women in his Philadelphia, Pennsylvania basement, killing two.",0,2,2
"Ronny Rieken","Germany","1996 to 1998",NA,"",NA,"2","Raped and killed two girls ages 11 and 13. He was caught as a result of mass DNA screening and sentenced to life imprisonment.",0,2,2
"Johann Otto Hoch","Germany","1888 to 1905",NA,"50+",NA,"1","Swindler who married several women under different aliases, most of whom died after a few months; others disappeared without a trace. Convicted of one murder by poisoning and hanged.",0,1,1
"Carl Großmann","Germany","1918 to 1921",NA,"50+",NA,"1","Known as ""The Berlin Butcher"". Killed women and sold their flesh on the black market. Only one body found. Hanged himself in his cell after being sentenced to death.[89]",0,1,1
"Sailson Jose das Gracas","Brazil","2005 to 2014",NA,"41",NA,"1","Claims to have murdered 41 people in a nine-year killing spree that started at the age of 17.[90]",0,1,1
"Bobby Jack Fowler","United States","1969 to 1996",NA,"20",NA,"1","One murder proven, suspected of up to 20 more. Suspect in the Highway of Tears murders.[91]",0,1,1
"Leszek Pękalski","Poland","1984 to 1992",NA,"17",NA,"1","Called ""The Vampire of Bytów"". Charged with 17 murders but convicted of only one (to 25 years in prison) for faulty collection of evidence. During the investigation he admitted to killing 80 people but later retracted his confession.",0,1,1
"Daniel Conahan","United States","1994 to 1996",NA,"12+",NA,"1","Convicted of one murder and has been linked to over a dozen murders.",0,1,1
"Tillie Klimek","United States","1914 to 1921",NA,"6+",NA,"1","Chicago woman who poisoned her husbands; only convicted of the murder of her third husband. Sentenced to life imprisonment.",0,1,1
"Lyda Southard","United States","1915 to 1920",NA,"6",NA,"1","Suspected of killing her brother-in-law, four husbands and a daughter, but was only convicted of killing her fourth husband, Edward Meyer.",0,1,1
"John Norman Collins","United States","1969",NA,"6",NA,"1","Convicted of the murder of Karen Sue Beineman, suspected in the murder of at least five other young women in the vicinity of Ann Arbor and Ypsilanti, Michigan.",0,1,1
"Velma Barfield","United States","1971 to 1978",NA,"5-6",NA,"1","Confessed to five poisonings with arsenic but was only tried and convicted for one. First woman to be executed in the United States after the 1976 resumption of capital punishment, receiving lethal injection in 1984.",0,1,1
"Raymond Morris","United Kingdom","1962 to 1971",NA,"3",NA,"1","Known as the ""A34 Killer""; convicted of one murder, considered to have committed at least two more.",0,1,1
"Robert Anthony Buell","United States","1981 to 1983",NA,"3",NA,"1","Sentenced to death for the murder of a young girl and chief suspect in the murders of two others. Executed by lethal injection in 2002.",0,1,1
"Harold Shipman","United Kingdom","1975 to 1998",NA,"250[92]",NA,"218","Convicted of 15 murders and responsible for the deaths of 218 patients identified by inquiry but is believed to have killed up to 250 people.[93] He injected diamorphine into his patients and then falsified the medical records, reporting that his patient had been in poor health. Known (after his arrest only) as Doctor Death.[94] Hanged himself in prison.",0,218,218
"Hu Wanlin","China","1997 to 1999",NA,"150+",NA,"146","Ran hospitals in Shanxi, Shaanxi, and Henan despite lacking a license or any kind of medical formation, where he administered poisonous ""miracle cures"" that contained high amounts of sodium sulphate.",0,146,146
"Miyuki Ishikawa","Japan","1940s",NA,"169",NA,"103+","Killed more than 103 newborn children. As a maternity nurse she killed infants born to parents unwilling to care for them during the prohibition of abortion in Japan. Arrested in 1948 and sentenced to 4 years in prison.",0,NA,NA
"Steven Massof","United States","2003 to 2008",NA,"",NA,"100+","Massof, who worked at Kermit Gosnell's abortion clinic, testified that he snipped the spines of more than 100 babies after seeing them show signs of life.[95][96]",0,NA,NA
"Louay Omar Mohammed al-Taei","Iraq","2005 to 2006",NA,"",NA,"43","Medical doctor found to have killed 43 wounded policemen, soldiers and officials in Kirkuk; was a member of an insurgent cell.",0,43,43
"Daniela Poggiali","Italy","2014",NA,"",NA,"38","Nurse who killed 38 of her patients.",0,38,38
"Donald Harvey","United States","1970 to 1987",NA,"57–87",NA,"37","Self-professed Angel of Death. Worked as an orderly in Cincinnati-area hospitals and preyed on his patients. Claims to have killed 87 patients starting at age 18. Active 1970–1987. Serving 28 life sentences in Ohio.[97]",0,37,37
"Jane Toppan","United States","1885 to 1901",NA,"",NA,"31","Nurse that confessed to poisoning 31 patients for her own sexual gratification. After overdosing them she would get in bed and lie with them as they died. Found not guilty by reason of insanity and interned in a mental institution until her death in 1938.",0,31,31
"Stephan Letter","Germany","2003 to 2004",NA,"29+",NA,"29","Nurse who killed 29 patients; Sentenced to life on November 20, 2006.",0,29,29
"Anders Hansson","Sweden","1978 to 1979",NA,"",NA,"27","A Nurse Aide who poisoned victims with gevisol and ivisol. His actions were called ""The Hospital Murders"" (Swedish: Sjukhusmorden).[98]",0,27,27
"Marcel Petiot","France","1926 to 1944",NA,"63",NA,"26","Active 1926 and from 1942 to 1944. Petiot is suspected of having killed up to 63 in total. Executed in 1946.[99]",0,26,26
"Arnfinn Nesset","Norway","1983 and earlier",NA,"27–138+",NA,"22","Norwegian nurse and most prolific known serial killer in Scandinavian history, convicted on 18 March 1983 of poisoning at least 22 patients with Curacit; however he initially confessed to 27 murders; after he retracted his confessions and he told he had killed 138 patients. Was released from prison in 2004 after serving 21 years, the maximum punishment possible by Norwegian law.[100]",0,22,22
"Charles Cullen","United States","1988 to 2003",NA,"35–400+",NA,"18–29","Nurse in New Jersey and Pennsylvania who murdered at least 29 patients between 1988 and 2003, but experts believe the number could be as high as 400. Cullen has admitted to more murders, which authorities believe are likely, but the murders cannot be verified due to lack of records.[101]",0,NA,NA
"Maxim Petrov","Russia","2000 to 2002",NA,"19",NA,"12","Doctor who killed his patients in St. Petersburg. Suspected of 19 murders.[102]",0,12,12
"Joan Vila","Spain","2009 to 2010",NA,"15[103]",NA,"11","Nursing home worker who fatally poisoned 11 elderly residents or more in Olot. In the trial he claimed they were mercy kills intended to spare the victims of further suffering, although three of them were administered caustic cleaning materials that caused severe burns and a long agony.[104]",0,11,11
"Ann Arbor Hospital Killer","United States","1975",NA,"",NA,"10","Poisonings of ten patients at the Veteran's Administration Hospital in 1975. Filipino nurses Filipina Narciso and Leonora Perez were tried for the crimes.",0,10,10
"Frederick Mors","United States","1914 to 1915",NA,"8+",NA,"8","Born Carl Menarik, Austrian who killed 8 elderly patients by poisoning in New York. Sent to an asylum and escaped. Never caught.",0,8,8
"Marianne Nölle","Germany","1984 to 1992",NA,"17",NA,"7","Nurse who was convicted of killing seven patients between 1984 and 1992; suspected of killing 17; sentenced to life imprisonment in 1993.[105]",0,7,7
"Petr Zelenka","Czech Republic","2006",NA,"21[106]",NA,"7","Killed his victims with a lethal injection of heparin from May to September 2006. Ten people survived his murder attempt. Suspected of up to 14 additional murders.",0,7,7
"Orville Lynn Majors","United States","1993 to 1995",NA,"130",NA,"6","LPN in Vermillion County Ind., Preyed on elderly patients—thought to have killed many of them with injections of potassium chloride. Serving 360 years in Indiana.",0,6,6
"Efren Saldivar","United States","1989 to 1997",NA,"50+",NA,"6","Respiratory therapist who killed six patients, possibly as many as 120.[107]",0,6,6
"Christine Malèvre","France","1998 and earlier",NA,"30",NA,"6","Nurse who killed terminally ill patients claiming that they had asked her to help them die, something denied by their families. Sentenced to 12 years in prison for 6 murders and suspect of 30.",0,6,6
"Kristen Gilbert","United States","1990 to 1996",NA,"70+",NA,"5","Nurse at a Massachusetts Veterans Medical Center who injected male patients with epinephrine, causing heart attacks. Sentenced to life without parole.",0,5,5
"Amy Archer-Gilligan","United States","1910 to 1917",NA,"48+",NA,"5","A nursing home proprietor believed to have poisoned as many as 60 patients from her homes and her second husband. Charged with 5 murders originally, this was lowered to just one following her admission of guilt, and was found guilty of second degree murder. Died in a mental hospital in 1962.",0,5,5
"Aino Nykopp-Koski","Finland","2004 to 2009",NA,"",NA,"5","Nurse who killed five elderly patients using sedatives and opiates in Finland.",0,5,5
"Kimberly Clark Saenz","United States","2008",NA,"",NA,"5","Killed five patients by using syringes to inject bleach into their dialysis lines.",0,5,5
"Michael Swango","United States","1981 to 1997",NA,"35–60+",NA,"4","Murderer and serial killer suspect.",0,4,4
"Kermit Gosnell","United States","1989? to 2011",NA,"100+",NA,"4","Gosnell, who ran an abortion clinic, was charged with 8 and convicted of 4 murders. Three babies were born alive, then killed by cutting the infant's spine with scissors. One mother died due to complications. Testimony indicated hundreds of similar procedures carried out by Gosnell and his staff.",0,4,4
"Edson Izidoro Guimaraes","Brazil","1999 and earlier",NA,"5-131",NA,"4","Nurse who injected patients with potassium chloride or took their oxygen masks off. Confessed to 5 murders which he claimed to be mercy kills and was convicted of 4 in 2000, sentenced to 76 years in prison. Some believe that he might have killed as many as 131 patients for money, as he was paid $60 for informing local funeral homes of a patient's death so that they could contact the deceased's relatives first.",0,4,4
"Richard Angelo","United States","1987",NA,"25",NA,"4","Known as ""The Angel of Death"". New York nurse convicted of four murders, linked to 6 other deaths. Suspected of killing up to 25 people.",0,4,4
"Beverley Allitt","United Kingdom","1991",NA,"",NA,"4","A nurse, Allitt attacked 11 children in her care during a period of 59 days, killing four of them. Some of the victims were overdosed with insulin, others were injected with air bubbles. Imprisoned for life since 1993.",0,4,4
"Abraao Jose Bueno","Brazil","2005",NA,"",NA,"4","Nurse who injected young children with sedatives until they stopped breathing. He would then alert doctors in an attempt to earn the respect of his colleagues for being the first one to notice that something was wrong. Convicted of 4 deaths and 4 more murder attempts to 110 years in prison.",0,4,4
"Marie Fikáčková","Czech Republic","1957 to 1960",NA,"10+",NA,"2","Nurse who was executed by hanging in 1961 for murdering babies.",0,2,2
"Felícitas Sánchez Aguillón","Mexico","1930 to 1941",NA,"50+",NA,"1","Known as ""The Ogress of Roma neighborhood""; Nurse, midwife and baby farmer responsible for an unknown number of murders number during the 1930s, maybe 50 victims, in Mexico City.",0,1,1
"Genene Jones","United States","1971 to 1984",NA,"50+",NA,"1","Pediatric nurse who poisoned infants in her care; convicted of only one murder but suspected many more.[108]",0,1,1
"Linda Hazzard","United States","1908 to 1911?",NA,"13–40+",NA,"1","Self-declared doctor and fasting specialist, which she advertised as a panacea for every medical ailment. Up to 40 patients could have died of starvation in her ""sanitarium"" of Olalla, Washington. Imprisoned for one death in 1912, was paroled in 1915 and continued to practice medicine without a license in New Zealand (1915–1920) and Washington (1920–1935). Died in 1938 while attempting a fasting to cure herself.",0,1,1
"Robert George Clements","United Kingdom","1920 to 1947",NA,"4",NA,"1","Believed to have murdered his four wives, all of whom died young and had their death certificates signed by Clements himself. Clements committed suicide with a morphine overdose when police came to arrest him for the murder of his fourth wife, who had died of the same cause.",0,1,1
"Philadelphia poison ring","United States","1938 and earlier",NA,"",NA,"114","Gang of 16 that poisoned Italian immigrants with arsenic in order to collect their life insurance. The leaders, cousins Herman and Paul Petrillo, were executed on the electric chair in 1941 while the rest were given life sentences.",0,114,114
"Delfina and María de Jesús González","Mexico","1955 to 1964",NA,"",NA,"91+","Two sisters who ran a brothel in Mexico, hired numerous prostitutes and murdered at least 80 of them after they were deemed useless during the span of ten years. They also killed 11 men. Probably the work of four of the sisters, sentenced to 40 years in prison. Body count varies due to the combined work of the sisters being impossible to assign to them individually.[9]",0,NA,NA
"Angel Makers of Nagyrév","Hungary","1911 to 1929",NA,"0300 !300+",NA,"0050 !50","26 women who poisoned their husbands (sometimes also their parents, lovers and children) with arsenic under the guidance of midwife Júlia Fazekas and her accomplice, Susi Oláh.",0,NA,NA
"Dean Corll, David Owen Brooks and Elmer Wayne Henley","United States","1970 to 1973",NA,"29+",NA,"28","Corll, known as ""The Candy Man"", killed at least 28 teenage boys and young men in Houston between 1970 and 1973. Corll was then shot and killed by one of the two teenage accomplices he recruited to assist him in the abductions of the victims on August 8, 1973. This accomplice, Elmer Wayne Henley, informed the police of the trio's murders the same day Corll was murdered.[21]",0,28,28
"Adolfo Constanzo and Sara Aldrete","Mexico","1987? to 1989",NA,"",NA,"25+","""The Godparents of Matamoros"". Leader and second in command of a cult that abducted men to perform human sacrifices.",0,NA,NA
"Igor Suprunyuck and Viktor Sayenko","Ukraine","2007",NA,"",NA,"21","Also known as ""The Dnepropetrovsk Maniacs"". Killed random people over a two-month period and tortured dogs and cats, received lifetime imprisonment.",0,21,21
"Surinder Koli and Moninder Singh Pandher[disputed – discuss]","India","2005 to 2006",NA,"0030 !30+",NA,"0019 !19","Between 2005 and 2006, businessman Moninder Singh Pandher and his domestic servant, Surender Koli, kidnapped, raped, murdered, and dismembered 19 people (mostly children). Convicted.",0,NA,NA
"Anísio Ferreira de Sousa and followers","Brazil","1989 to 1992",NA,"",NA,"0019 !19","Satanic ring that abducted, mutilated and sacrificed children in Altamira, Brazil. The leader, Ferreira de Sousa, was convicted for four murders and two more attempts to 77 years in prison.",0,NA,NA
"Ripper Crew","United States","1981 to 1982",NA,"",NA,"0018 !18","Abducted women, mostly prostitutes, then raped, tortured and killed them in Chicago, Illinois.",0,NA,NA
"John Allen Muhammad and Lee Boyd Malvo","United States","2002",NA,"",NA,"17","Killed seven people from February to September 2002 and ten in the Beltway sniper attacks of October 2002.",0,17,17
"Vladyslav Volkovich and Volodymyr Kondratenko","Ukraine","1991 to 1997",NA,"20+",NA,"0016 !16","""The Nighttime Killers"". Murdered homeless men and lone drivers with a variety of weapons.",0,NA,NA
"Death Angels","United States","1973 to 1974",NA,"",NA,"0016 !16","Four black supremacists that killed 16 white people and injured between 8 and 10 in San Francisco (Zebra murders).",0,NA,NA
"Lainz Angels of Death","Austria","1983 to 1989",NA,"49–200+",NA,"15","Known as the ""Lainz Angels of Death""; Waltraud Wagner, Irene Leidolf, Stephanija Mayer, and Maria Gruber were nurses at the Lainz General Hospital in Vienna who admitted to murdering 49 patients.[109]",0,15,15
"José Miculax Bux and Mariano Macú Miculax","Guatemala","1946",NA,"",NA,"15","Cousins who killed 15 boys in 1946.",0,15,15
"Fred West and Rosemary West","United Kingdom","1967 to 1987",NA,"20",NA,"12","Mainly targeted young females but were also found guilty of the murder of their own daughter. Also found guilty of raping another daughter. Buried the victims around their house and local area. Shortly before he committed suicide on New Year's Day, 1995, Fred West said there were more victims.[110]",0,12,12
"Briley Brothers","United States","1971 to 1979",NA,"",NA,"12","Three brothers and an accomplice responsible for 12 murders in the 1970s in Richmond, Virginia.",0,12,12
"Mailoni Brothers","Zambia","2007 to 2013",NA,"",NA,"12","Three brothers who killed at least 12 people from 2007 to 2013. Killed by Zambia Army Commandos in 2013.",0,12,12
"Leonard Lake and Charles Ng","United States","1982 to 1985",NA,"25",NA,"11","Abducted women, used them as sex slaves, and then murdered them, together with any men, women, and children who got in their way. Lake committed suicide upon arrest, but Ng was later convicted of killing 11 people. Between 1982 and 1985, Lake and Ng were believed to have abducted and killed as many as 25 victims, as evidenced by human remains found on Lake's California ranch.[111]",0,11,11
"Shen Changyin and Shen Changping","China","1999 to 2004",NA,"",NA,"11","Found guilty of the murders of 11 prostitutes.",0,11,11
"Wolfgang Abel and Marco Furlan","Italy","1977 to 1984",NA,"27",NA,"10","The victims, seemingly chosen at random and killed by different methods, were found next to letters written in Italian, signed ""Ludwig"" and containing Nazi imagery, that gave a reason for why the murder had been committed. Abel and Furlan were arrested in Castiglione delle Stiviere while dousing a crowded discothèque with gasoline and sentenced in 1987 to 30 years in prison for all crimes (later reduced to 27).",0,10,10
"Joshi-Abhyankar serial murderers","India","1976 to 1977",NA,"",NA,"10","Four Pune commercial art students (Rajendra Jakkal, Dilip Sutar, Shantaram Kanhoji Jagtap and Munawar Harun Shah) that broke into random people's homes and businesses and strangled them with a nylon rope. Hanged in 1983.",0,10,10
